paper,full_paper_name,year_published,journal,authors,doi,abstract,arxiv_url,pdf_url,primary_category,pdf_path,dataset_name,dataset_type,official_path,events_total (from text),events_used (from text),collision_energy_tev,generator,size_bytes,luminosity,shortened_paper_name,notes,events_total_num,events_used_num,collision_energy_tev_num,luminosity_pb,dataset_key,fraction_used,has_official_path,quality_flags
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,CMS HEP Tutorial dataset,data,,,469384.0,7.0,,,50/pb,Terascale Tutorial CMS Open Data,Single muon trigger events; pocket-size data sample; used for educational purposes in tutorial,,469384.0,7.0,50.0,cms_hep_tutorial_dataset,,True,
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,TTbar MC sample,mc,,,36941.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 165 pb; weighted events: 7928.6; includes events with triggerIsoMu24 false; from CMS HEP Tutorial,,36941.0,7.0,,ttbar_mc_sample,,True,weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,WJets MC sample,mc,,,109737.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 31300 pb; weighted events: 209576.7; from CMS HEP Tutorial,,109737.0,7.0,,wjets_mc_sample,,True,weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,DYJets MC sample,mc,,,77729.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 15800 pb; weighted events: 34113.2; Drell-Yan process; from CMS HEP Tutorial,,77729.0,7.0,,dyjets_mc_sample,,True,weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,WW MC sample,mc,,,4580.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 4580 pb; weighted events: 229.9; from CMS HEP Tutorial,,4580.0,7.0,,ww_mc_sample,,True,events_used==cross_section;weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,WZ MC sample,mc,,,3367.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 3367 pb; weighted events: 69.9; from CMS HEP Tutorial,,3367.0,7.0,,wz_mc_sample,,True,events_used==cross_section;weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,ZZ MC sample,mc,,,2421.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 2421 pb; weighted events: 16.9; from CMS HEP Tutorial,,2421.0,7.0,,zz_mc_sample,,True,events_used==cross_section;weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,Single Top MC sample,mc,,,5684.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section 5684 pb; weighted events: 311.6; from CMS HEP Tutorial,,5684.0,7.0,,single_top_mc_sample,,True,events_used==cross_section;weighted_not_raw
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs/2403.08907.pdf,QCD MC sample,mc,,,142.0,7.0,,,,Terascale Tutorial CMS Open Data,Cross section ~10^8 pb; weighted events: 79160.5; very large statistical uncertainty; from CMS HEP Tutorial,,142.0,7.0,,qcd_mc_sample,,True,weighted_not_raw
2312.06909,Pre-training strategy using real particle collision data for event classification in collider physics,2023,,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,,"This study aims to improve the performance of event classification in collider physics by introducing a pre-training strategy. Event classification is a typical problem in collider physics, where the goal is to distinguish the signal events of interest from background events as much as possible to search for new phenomena in nature. A pre-training strategy with feasibility to efficiently train the target event classification using a small amount of training data has been proposed. Real particle collision data were used in the pre-training phase as a novelty, where a self-supervised learning technique to handle the unlabeled data was employed. The ability to use real data in the pre-training phase eliminates the need to generate a large amount of training data by simulation and mitigates bias in the choice of physics processes in the training data. Our experiments using CMS open data confirmed that high event classification performance can be achieved by introducing a pre-trained model. This pre-training strategy provides a potential approach to save computational resources for future collider experiments and introduces a foundation model for event classification.",http://arxiv.org/abs/2312.06909,https://arxiv.org/pdf/2312.06909v1,hep-ex,pdfs/2312.06909.pdf,CMS SingleElectron primary dataset from Run D of 2015,data,/SingleElectron/Run2015D-08Jun2016-v1/AOD,,1000000.0,13.0,,,,Pre-training Strategy Real Collision Data,"Used for pre-training phase; events with at least one loose lepton (pT > 10 GeV), at least two b-jets (pT > 20 GeV), and at least two light-jets (pT > 20 GeV); approximately 10^6 training events plus 10^5 validation and 10^5 test events; AOD format; CERN Open Data Portal records 24103",,1000000.0,13.0,,cms_singleelectron_primary_dataset_from_run_d_of_2015,,True,
